tail_type,contamination,overlap,nuisance,learner,estimator,clip_quantile,mean_theta_hat,bias,sd,rmse,coverage,mean_ci_length,mean_share_top1pct,mean_share_top0_5pct,mean_share_top0_1pct,mean_max_abs_score,mean_p99_abs_score,reps
normal,0.0,strong,linear,lasso,covariate_winsorized_dml,,1.0071696395394003,0.007169639539400406,0.029589821675858358,0.03015709082451173,0.96,0.12430378122044956,0.0688978535799757,0.038808980476094365,0.009472821621810505,6.229725792229926,3.6347600222969687,50
normal,0.0,strong,linear,lasso,outcome_winsorized_dml,,0.9853372963516657,-0.0146627036483344,0.029159492503781557,0.0323769263719614,0.9,0.12125940960309699,0.0673880087890588,0.0379377473085172,0.009210797716765225,5.9492723304166075,3.4917982023101173,50
normal,0.0,strong,linear,lasso,score_clipped_dml,0.95,1.0038168403745344,0.0038168403745345693,0.02924527963242833,0.029201865070711253,0.96,0.12438786917112374,0.0641920006395753,0.03418503769251246,0.007021879173509502,4.5705784490292665,3.620810366110409,50
normal,0.0,strong,linear,lasso,score_clipped_dml,0.97,1.0036977610966433,0.003697761096643348,0.029334924588092837,0.029274570563975155,0.96,0.12398728401354617,0.06719868390102468,0.037176940275818235,0.008308983143684633,5.428375248688605,3.622061909095147,50
normal,0.0,strong,linear,lasso,score_clipped_dml,0.99,1.003906263696424,0.003906263696423978,0.029250228125896793,0.029218542478615602,0.96,0.12392778035905745,0.06851906249615841,0.03853723700625435,0.009335780485779021,6.112286307670468,3.6220212013352016,50
normal,0.0,strong,linear,lasso,score_clipped_dml,0.995,1.0039162987250154,0.003916298725015446,0.029199760427297036,0.02917037683223974,0.96,0.12396595732993891,0.06864846323667716,0.0386708739354151,0.009473731385300325,6.205267842459694,3.6221084426191483,50
normal,0.0,strong,linear,lasso,score_clipped_dml,0.999,1.0038577032952087,0.0038577032952086298,0.029160575019340187,0.02912411762548798,0.96,0.12396251084431854,0.06874319944028066,0.03876821182223622,0.00957279320294565,6.270928425172883,3.6221165918688967,50
normal,0.0,strong,linear,lasso,standard_dml,,1.0038577032952085,0.0038577032952085786,0.02916057501934017,0.02912411762548795,0.96,0.12396251084431854,0.06874319944028066,0.03876821182223622,0.00957279320294565,6.270928425172883,3.6221165918688967,50
normal,0.0,strong,nonlinear,lasso,covariate_winsorized_dml,,0.9009306499035924,-0.0990693500964076,0.05511772181999731,0.113101459415777,0.52,0.20360054435227545,0.10401750324051404,0.06463300230250703,0.01986020650124601,24.837059566218137,8.64960060986214,50
normal,0.0,strong,nonlinear,lasso,outcome_winsorized_dml,,0.891644055869844,-0.10835594413015599,0.053491573498281715,0.12060320101453824,0.34,0.191323796496667,0.09645233083552548,0.05935154550205275,0.01767026060480929,21.58456392153313,7.970155034678166,50
normal,0.0,strong,nonlinear,lasso,score_clipped_dml,0.95,0.9296248239263802,-0.0703751760736197,0.04954798280068843,0.08578209577189137,0.72,0.1862060691213666,0.05669501003121078,0.02834750501560539,0.005669501003121078,6.654634548238976,6.654634548238976,50
normal,0.0,strong,nonlinear,lasso,score_clipped_dml,0.97,0.9245676208907431,-0.07543237910925697,0.05020209163813683,0.09033210294701258,0.72,0.1885596499407411,0.06958494387200759,0.034873687773254745,0.006974737554650949,8.378838797484967,8.141792664570977,50
normal,0.0,strong,nonlinear,lasso,score_clipped_dml,0.99,0.917571647340959,-0.08242835265904101,0.05213825814405512,0.09725463138140744,0.66,0.19277492423919404,0.08855540459339178,0.04854792797820656,0.010053272272664641,12.351714779304293,8.724535645715129,50
normal,0.0,strong,nonlinear,lasso,score_clipped_dml,0.995,0.9152604471468124,-0.08473955285318753,0.052542047055547984,0.09942959917635107,0.66,0.19518662397832942,0.09383005372091455,0.053836890520525975,0.011958367948457876,14.77990376074033,8.71908253710101,50
normal,0.0,strong,nonlinear,lasso,score_clipped_dml,0.999,0.9122448446265062,-0.08775515537349378,0.05295978153084805,0.10222333875013712,0.64,0.19862040306390097,0.09944602707157052,0.0597309178054824,0.015230430933495798,18.954682253787713,8.714462636263614,50
normal,0.0,strong,nonlinear,lasso,standard_dml,,0.9084949219025692,-0.09150507809743083,0.05543010179087057,0.1066968864516311,0.6,0.204324663227445,0.10445403185637979,0.06498495701255545,0.020041990530395792,25.21162895389331,8.707105573962519,50
normal,0.0,weak,linear,lasso,covariate_winsorized_dml,,1.0153630043936388,0.015363004393638668,0.036724256574306675,0.03946795541342064,0.94,0.12541191441389482,0.07170938540062317,0.04069199390605261,0.01006337752569852,6.664629163965307,3.7684073207543998,50
normal,0.0,weak,linear,lasso,outcome_winsorized_dml,,0.9869751554887235,-0.01302484451127654,0.03647188126335587,0.038382818226043454,0.88,0.12547249979603087,0.07152634545682283,0.040625240975333494,0.01026823866440218,6.714820200059992,3.7100869066073225,50
normal,0.0,weak,linear,lasso,score_clipped_dml,0.95,1.006830740071221,0.006830740071221102,0.0372272430584263,0.0374807855192112,0.94,0.12573721811151303,0.06493550259318778,0.03414903002759932,0.006957616577815693,4.52148522178989,3.7181468458075586,50
normal,0.0,weak,linear,lasso,score_clipped_dml,0.97,1.0064947973010023,0.006494797301002362,0.03717317321711667,0.03736830612792439,0.94,0.1253008477230141,0.06868067918271781,0.0377349905085172,0.008182091066798599,5.3369957489382935,3.719132342920574,50
normal,0.0,weak,linear,lasso,score_clipped_dml,0.99,1.0061902221264836,0.006190222126483607,0.03729272976998922,0.03743329520358446,0.94,0.12501925117565413,0.07015428863436007,0.03925542471179827,0.00926693836308594,6.050516322411343,3.7180441430789335,50
normal,0.0,weak,linear,lasso,score_clipped_dml,0.995,1.0061628213392688,0.0061628213392687205,0.03726155120662128,0.03739833019289676,0.94,0.12493119350879812,0.07027743348340224,0.039381957595996234,0.009396916669464524,6.138030810939157,3.7181998135800147,50
normal,0.0,weak,linear,lasso,score_clipped_dml,0.999,1.0061628213392688,0.006162821339268727,0.03726155120662129,0.03739833019289677,0.94,0.12493119350879812,0.07027743348340224,0.039381957595996234,0.009396916669464524,6.138030810939157,3.7181998135800147,50
normal,0.0,weak,linear,lasso,standard_dml,,1.0061628213392688,0.0061628213392687205,0.037261551206621314,0.037398330192896796,0.94,0.12493119350879812,0.07027743348340224,0.039381957595996234,0.009396916669464524,6.138030810939157,3.7181998135800147,50
normal,0.0,weak,nonlinear,lasso,covariate_winsorized_dml,,0.9130353312422453,-0.08696466875775476,0.03054969518225777,0.09207318724992795,0.2,0.13118942384654375,0.12848031481165967,0.08009085299415146,0.022606470311606314,48.734797986224024,17.97107496039065,50
normal,0.0,weak,nonlinear,lasso,outcome_winsorized_dml,,0.8853044474091406,-0.11469555259085931,0.03041250209396808,0.11858116065406796,0.04,0.12249694184457009,0.12094820117332987,0.07551081424966594,0.02139536201099684,45.0618886467668,16.514939823962546,50
normal,0.0,weak,nonlinear,lasso,score_clipped_dml,0.95,0.9246239670729753,-0.07537603292702472,0.026964873676736285,0.07996317067231772,0.3,0.12297494603770374,0.0832624539434429,0.041721657452316034,0.008344331490463206,17.113773071195205,16.698978367280677,50
normal,0.0,weak,nonlinear,lasso,score_clipped_dml,0.97,0.9223568336644962,-0.07764316633550374,0.027555347103735767,0.08229564076869389,0.26,0.1251834878524109,0.10304127906825286,0.0543776880005213,0.010978852612740652,23.08317070976792,18.219402437148247,50
normal,0.0,weak,nonlinear,lasso,score_clipped_dml,0.99,0.9210600950111548,-0.07893990498884515,0.02884749656786049,0.08394666816923686,0.32,0.1298448222847004,0.12361606714483492,0.07437999433333259,0.017768934463062745,38.33340434087178,18.351274583725687,50
normal,0.0,weak,nonlinear,lasso,score_clipped_dml,0.995,0.9212827193820157,-0.07871728061798432,0.03003080564080699,0.08414405843300937,0.34,0.13166053222089885,0.12831616119743738,0.0793767820977031,0.021141109975275175,45.95498952402849,18.359121291808414,50
normal,0.0,weak,nonlinear,lasso,score_clipped_dml,0.999,0.921259792384714,-0.07874020761528597,0.030618741634552166,0.08437284804838656,0.32,0.13184855377941898,0.12976611596226215,0.0809185859354053,0.02259261336983148,49.35471699863268,18.351962597272973,50
normal,0.0,weak,nonlinear,lasso,standard_dml,,0.9212552137522585,-0.07874478624774155,0.030625955197605505,0.08437968659774063,0.32,0.13175132709707119,0.12977253948460457,0.08092573369248736,0.022600736252758796,49.37350788039902,18.35205046560913,50
normal,0.05,strong,linear,lasso,covariate_winsorized_dml,,0.36659356255487924,-0.6334064374451208,0.16653953692917542,0.6545108280313567,0.08,0.6984601261352128,0.25299741152847144,0.13955123893321086,0.03176373040726364,137.7955918799366,90.74029137639226,50
normal,0.05,strong,linear,lasso,outcome_winsorized_dml,,0.3624104177229209,-0.6375895822770792,0.15512461369608257,0.6558222688252755,0.0,0.6453368470876673,0.24823100928950254,0.13742436116160972,0.031162730853038306,126.9644196618753,82.61820082750846,50
normal,0.05,strong,linear,lasso,score_clipped_dml,0.95,0.9794163365347,-0.02058366346530006,0.09582848192897764,0.09707277265788213,0.92,0.3680734119576614,0.10214153810424403,0.05107076905212202,0.010214153810424403,14.320778077207821,14.320778077207821,50
normal,0.05,strong,linear,lasso,score_clipped_dml,0.97,0.6140324306669812,-0.38596756933301873,0.20582107289766624,0.4364470556030939,0.62,0.850480999522365,0.18328602483454584,0.09164301241727292,0.018328602483454585,60.80803913233369,60.80803913233369,50
normal,0.05,strong,linear,lasso,score_clipped_dml,0.99,0.43801949477658353,-0.5619805052234165,0.19643884909569362,0.5946751594412921,0.22,0.8050571069161201,0.21999737581927994,0.11014722590500607,0.022029445181001216,88.9674079367008,87.96999306283973,50
normal,0.05,strong,linear,lasso,score_clipped_dml,0.995,0.405039182279987,-0.5949608177200131,0.18787638600244264,0.6233538002700062,0.14,0.7712823226845245,0.23484525263290026,0.1192466592478835,0.023866878855472298,99.72339383296574,91.4483207889005,50
normal,0.05,strong,linear,lasso,score_clipped_dml,0.999,0.3789012075913229,-0.6210987924086772,0.17646939117806762,0.6451994474841246,0.12,0.7327789514684926,0.24740356974527467,0.1322173366247374,0.027536055618622088,118.00772749849945,91.15082499909799,50
normal,0.05,strong,linear,lasso,standard_dml,,0.36488383081397807,-0.635116169186022,0.16733279693986422,0.6563633201166951,0.08,0.6991097005076786,0.25307328591598816,0.13951490514970916,0.03176315808998782,137.69604799222074,90.78721613910166,50
normal,0.05,strong,nonlinear,lasso,covariate_winsorized_dml,,0.3570579081471364,-0.6429420918528637,0.15325877768587368,0.6606005005713732,0.0,0.6406603368190013,0.2302740962939789,0.1275476849504353,0.029697247281800513,143.28354882629122,91.42739982389452,50
normal,0.05,strong,nonlinear,lasso,outcome_winsorized_dml,,0.36081795071339234,-0.6391820492866076,0.13646432983436158,0.653302192848781,0.0,0.5877723139695737,0.22240951971965045,0.1232475461634647,0.028626841747128748,130.69046944455522,82.84875428816838,50
normal,0.05,strong,nonlinear,lasso,score_clipped_dml,0.95,0.8460522271017155,-0.1539477728982845,0.10956140007427427,0.18831766555172744,0.78,0.44374083166107026,0.09708771292017802,0.04854385646008901,0.009708771292017802,22.472369822483152,22.472369822483152,50
normal,0.05,strong,nonlinear,lasso,score_clipped_dml,0.97,0.5799722522670159,-0.4200277477329841,0.16664403826596447,0.4512628276796571,0.34,0.7435627516595467,0.15718039008029097,0.0785901950401455,0.015718039008029098,60.24396597357506,60.24396597357506,50
normal,0.05,strong,nonlinear,lasso,score_clipped_dml,0.99,0.4242313642889671,-0.5757686357110329,0.16573956515538252,0.5986900143290194,0.1,0.7297026301093728,0.1961659733148435,0.09824448981690939,0.019648897963381876,89.14921132814953,87.72015870937022,50
normal,0.05,strong,nonlinear,lasso,score_clipped_dml,0.995,0.39240201471870345,-0.6075979852812966,0.16300357924813658,0.628660540537292,0.04,0.6957478208100892,0.21310516757330583,0.10886785099281178,0.021810457742152213,102.26455445475703,91.65747641532992,50
normal,0.05,strong,nonlinear,lasso,score_clipped_dml,0.999,0.3726434488827347,-0.6273565511172653,0.15709062641179292,0.6463436839933306,0.02,0.6645001808113971,0.22490057220647383,0.12096274063833969,0.025210437567688603,120.69472801158189,91.50108279954677,50
normal,0.05,strong,nonlinear,lasso,standard_dml,,0.36173556461382167,-0.6382644353861783,0.1528907307954223,0.6559645977724196,0.0,0.6394056769437415,0.23019570906850365,0.12755649740979708,0.029739441628726045,143.79440215926542,91.37171270099172,50
normal,0.05,weak,linear,lasso,covariate_winsorized_dml,,0.39533491381063224,-0.6046650861893678,0.18797876780611228,0.6326524822202011,0.08,0.6894640043751022,0.2536584348381149,0.13999568203500945,0.03211941936487872,136.9883264840809,89.14927719705061,50
normal,0.05,weak,linear,lasso,outcome_winsorized_dml,,0.3753688075340523,-0.6246311924659477,0.16678881651807517,0.646085339355895,0.04,0.626166426817186,0.2529000532903644,0.14096454363907535,0.032760595732685326,128.31150212243818,79.80026615615253,50
normal,0.05,weak,linear,lasso,score_clipped_dml,0.95,0.9820056903072227,-0.017994309692777266,0.09828638972127628,0.09894849820827661,0.94,0.375648027690866,0.10454959644352682,0.05227479822176341,0.010454959644352682,14.987012354529844,14.987012354529844,50
normal,0.05,weak,linear,lasso,score_clipped_dml,0.97,0.6333456809704101,-0.36665431902958984,0.20704752172645396,0.42005558250195574,0.64,0.8374543617645164,0.18468320809726296,0.09234160404863151,0.0184683208097263,60.59871357371442,60.59871357371442,50
normal,0.05,weak,linear,lasso,score_clipped_dml,0.99,0.46222338105492894,-0.537776618945071,0.208599894266514,0.576061914601402,0.2,0.8090695518332532,0.2200388118837815,0.11020259880444094,0.022040519760888187,87.22436723813696,85.70761478543713,50
normal,0.05,weak,linear,lasso,score_clipped_dml,0.995,0.4272949349100152,-0.5727050650899849,0.2032299158417564,0.6070151911599166,0.16,0.7722211002316115,0.23581698319693092,0.1201341808904649,0.02405626852969305,98.72457181852873,89.41526050799655,50
normal,0.05,weak,linear,lasso,score_clipped_dml,0.999,0.4015320698195175,-0.5984679301804825,0.19410388750516988,0.6285591907022267,0.1,0.7235478599322414,0.24845763608306265,0.13304241844761508,0.027787540736960846,117.05609762540999,89.28901564709862,50
normal,0.05,weak,linear,lasso,standard_dml,,0.38846492263656834,-0.6115350773634316,0.1878921813306099,0.6391968031952049,0.08,0.6920259473096014,0.25361487828384205,0.14001185994200407,0.032113318113279166,136.57528576957574,88.96983022109175,50
normal,0.05,weak,nonlinear,lasso,covariate_winsorized_dml,,0.6242737816537415,-0.37572621834625847,0.08632664640504781,0.385322508082167,0.0,0.37597951175735583,0.22263745089978182,0.12644475549849638,0.030611316977291823,177.46879255481173,100.13092899803154,50
normal,0.05,weak,nonlinear,lasso,outcome_winsorized_dml,,0.6188139954352,-0.3811860045648,0.08004610396065301,0.38933533266346354,0.0,0.3432935007485826,0.22064079628797564,0.12660497186202022,0.03122483084081217,171.70092481746997,91.42390993859078,50
normal,0.05,weak,nonlinear,lasso,score_clipped_dml,0.95,0.8532393987212515,-0.14676060127874854,0.057828081274912846,0.15753056634177054,0.38,0.25729751057957084,0.10372344524272163,0.051861722621360816,0.010372344524272164,40.286607460848515,40.286607460848515,50
normal,0.05,weak,nonlinear,lasso,score_clipped_dml,0.97,0.7813548349257311,-0.21864516507426887,0.07117659077866896,0.22971829083407988,0.16,0.318192058074627,0.13522963174795669,0.06761481587397834,0.013522963174795668,62.333375948915936,62.333375948915936,50
normal,0.05,weak,nonlinear,lasso,score_clipped_dml,0.99,0.6908648085149461,-0.3091351914850539,0.08085398364808775,0.3193292751265234,0.0,0.36982903433872655,0.17829471867378424,0.08928799843878911,0.017857599687757825,95.57181676094768,94.25160323678783,50
normal,0.05,weak,nonlinear,lasso,score_clipped_dml,0.995,0.6649341656048386,-0.3350658343951613,0.08262661825058724,0.34490539030520145,0.0,0.3771494146508542,0.19711557437456018,0.10080551489441739,0.0202304695697275,112.4761299787555,100.7406794777667,50
normal,0.05,weak,nonlinear,lasso,score_clipped_dml,0.999,0.6431147334035908,-0.35688526659640907,0.08736497708980981,0.3672153046253041,0.0,0.3754330444175082,0.21485631604545646,0.1173985227253107,0.024919076251587666,143.3430049734056,100.90469759800861,50
normal,0.05,weak,nonlinear,lasso,standard_dml,,0.6330397106808714,-0.36696028931912855,0.08567046186819963,0.3766331018553135,0.0,0.3733276855893584,0.22242806872991092,0.12628251871648133,0.030588988689992568,178.18587446126696,100.6827893522794,50
t3,0.0,strong,linear,lasso,covariate_winsorized_dml,,1.0009496042199313,0.0009496042199311572,0.029579853089937026,0.029297953901600764,1.0,0.11571124942321312,0.14723802047832957,0.09773303715365735,0.036920731668913326,48.86318072584566,10.84186856051537,50
t3,0.0,strong,linear,lasso,outcome_winsorized_dml,,0.8181472356923135,-0.18185276430768657,0.16621214199890563,0.24524350044650334,0.36,0.2795280569731464,0.245907107560088,0.20282970668508593,0.1246548099881435,258.08647371400366,11.691515146044642,50
t3,0.0,strong,linear,lasso,score_clipped_dml,0.95,0.9998624591588449,-0.00013754084115511934,0.028233514429988314,0.027950091731691617,0.94,0.11126153606725499,0.09326919134750307,0.04736637597150554,0.009493422334562466,11.493938103220604,10.413967148215274,50
t3,0.0,strong,linear,lasso,score_clipped_dml,0.97,1.0007473815422159,0.0007473815422157148,0.028706775026367745,0.02842808352555349,0.96,0.11046388561952825,0.11564508927264702,0.06470064172706678,0.013581979354869931,16.8913549466571,10.72479748966023,50
t3,0.0,strong,linear,lasso,score_clipped_dml,0.99,1.0007550171932402,0.0007550171932402017,0.02841469717618595,0.028139246014492855,0.96,0.11403536663581104,0.13590547469871364,0.08584584939145458,0.025466271578698362,32.53620311587743,10.742198618397277,50
t3,0.0,strong,linear,lasso,score_clipped_dml,0.995,1.0006425980158378,0.0006425980158377298,0.02885617034357894,0.028573377955181462,0.98,0.11728934902365902,0.14134686075804312,0.091494199625957,0.030839122333680368,39.8359477403183,10.774091687840805,50
t3,0.0,strong,linear,lasso,score_clipped_dml,0.999,0.9998504207363933,-0.00014957926360661844,0.028864386227064467,0.028574676032738278,0.98,0.11503054860419175,0.14695330520398708,0.0973563202401948,0.03635263232103808,47.959930075644195,10.758578777318354,50
t3,0.0,strong,linear,lasso,standard_dml,,0.9996717301392387,-0.0003282698607612855,0.029213088084508586,0.02892134482049679,0.98,0.1154205465283548,0.14726469985879054,0.0976815275711812,0.0366699809901694,48.41340531509637,10.759483698572314,50
t3,0.0,strong,nonlinear,lasso,covariate_winsorized_dml,,0.9631201828358829,-0.036879817164117076,0.036858483182833954,0.05187964669258239,0.9,0.1532338127604127,0.12472743802447313,0.0775957207326796,0.024916974624667024,47.813043978313836,15.781131754225363,50
t3,0.0,strong,nonlinear,lasso,outcome_winsorized_dml,,0.8733342987789291,-0.1266657012210709,0.07765740570703887,0.1481696968808072,0.28,0.20788215194065335,0.14998855642622635,0.10826926216936628,0.05512732876174709,119.05242449464608,14.292869012754041,50
t3,0.0,strong,nonlinear,lasso,score_clipped_dml,0.95,0.9647154774232763,-0.03528452257672363,0.045258951426727374,0.05702984099600183,0.9,0.15184677937659544,0.0749992853308241,0.03752396416191601,0.007504792832383201,13.51593977178107,13.415510276697455,50
t3,0.0,strong,nonlinear,lasso,score_clipped_dml,0.97,0.9636437859495739,-0.036356214050426196,0.04460348454647603,0.05719664078505291,0.9,0.1512403399832523,0.09722842619929091,0.050876227376617005,0.010268076343158121,19.04965874354826,15.738837461798171,50
t3,0.0,strong,nonlinear,lasso,score_clipped_dml,0.99,0.9639763041734026,-0.03602369582659737,0.04203503977270929,0.055039189113999444,0.88,0.15249170483978702,0.1180553132809303,0.07064432021769361,0.018548828745182242,35.23885349086581,15.839173385662484,50
t3,0.0,strong,nonlinear,lasso,score_clipped_dml,0.995,0.9645104320794037,-0.03548956792059633,0.04097765325595973,0.053898925186212907,0.88,0.1522994005229344,0.12137421981758029,0.07417463822248341,0.022006350636418773,42.05026016806788,15.841748642955766,50
t3,0.0,strong,nonlinear,lasso,score_clipped_dml,0.999,0.9659387305088424,-0.03406126949115763,0.03659763216196779,0.04972694466398186,0.9,0.15328281981956485,0.12435602603089863,0.07732932109678642,0.02463990011530534,47.48495753558392,15.81000044057011,50
t3,0.0,strong,nonlinear,lasso,standard_dml,,0.9658371554919387,-0.03416284450806133,0.036668685955824225,0.049847774514157624,0.9,0.1535532349446613,0.12449071669655584,0.07746847890487515,0.02479084256818187,47.78746651493751,15.810960774885954,50
t3,0.0,weak,linear,lasso,covariate_winsorized_dml,,1.0150957443337685,0.015095744333768455,0.030416895498355564,0.03368330859807609,0.92,0.12099306033483512,0.14251229441562435,0.09211907333742571,0.030796616670671764,40.96160477593929,11.305091448876134,50
t3,0.0,weak,linear,lasso,outcome_winsorized_dml,,0.893166551288917,-0.10683344871108297,0.0878232532085489,0.13773906886411652,0.68,0.23957796235052747,0.21568044113806326,0.16936719906936518,0.10214183186434676,168.70764757187436,11.2952367724897,50
t3,0.0,weak,linear,lasso,score_clipped_dml,0.95,1.0102019143851189,0.010201914385118922,0.03005619999467436,0.03145451815047817,0.96,0.10895664054118116,0.09445506430485733,0.04799540358065954,0.009606907652840873,11.736712457323334,10.531101890304779,50
t3,0.0,weak,linear,lasso,score_clipped_dml,0.97,1.0107739092395034,0.010773909239503303,0.030491532978234766,0.032050211106895606,0.98,0.11215972662781767,0.1165097837659319,0.0655392595374658,0.013833586751541338,17.312817283057985,11.006546813435044,50
t3,0.0,weak,linear,lasso,score_clipped_dml,0.99,1.010999353328081,0.010999353328080946,0.02943534153719171,0.031146369265435514,0.96,0.11630403741421069,0.13616050320411918,0.08523521044073565,0.023774660060525497,30.52440954676576,11.099624221114134,50
t3,0.0,weak,linear,lasso,score_clipped_dml,0.995,1.0104760702567293,0.01047607025672911,0.028571687152179726,0.030162269951240668,0.96,0.11666662807308366,0.14040502661920976,0.08970565740701474,0.027992828280054814,36.34479796494739,11.149973452680806,50
t3,0.0,weak,linear,lasso,score_clipped_dml,0.999,1.0112894937304946,0.011289493730494513,0.02890491572249717,0.030760964525792182,0.96,0.12048207894749872,0.14310496604057155,0.09243871639175842,0.030783534190639207,40.49150223736613,11.20386344483062,50
t3,0.0,weak,linear,lasso,standard_dml,,1.0111022444637165,0.011102244463716578,0.029063849333791733,0.03083947184157867,0.96,0.12108250957890247,0.14340439112623543,0.09273573727534831,0.03109534446103103,40.99551801304116,11.191262384689049,50
t3,0.0,weak,nonlinear,lasso,covariate_winsorized_dml,,0.9348360526281632,-0.06516394737183694,0.03448084827946696,0.07356283271591518,0.48,0.1297724870641034,0.13172469570520198,0.08212869985991256,0.024855162666890595,74.92732534536394,25.784796844091975,50
t3,0.0,weak,nonlinear,lasso,outcome_winsorized_dml,,0.8826478407904932,-0.11735215920950676,0.04589589679447852,0.12584050995943816,0.08,0.1405500094990478,0.136581670169762,0.09162749029303108,0.036763696574750086,114.18912095452608,23.422845435662268,50
t3,0.0,weak,nonlinear,lasso,score_clipped_dml,0.95,0.9426715601535366,-0.057328439846463394,0.032642498073400625,0.06580860158134419,0.52,0.12142401149159289,0.08700275094000086,0.04374996248648911,0.00874999249729782,25.143130472532008,24.253635068909933,50
t3,0.0,weak,nonlinear,lasso,score_clipped_dml,0.97,0.9412621846430754,-0.05873781535692455,0.03264998951412029,0.06704351073646787,0.46,0.1229808985314617,0.10728562596413264,0.057483978864818736,0.0116777939455491,34.39076968104883,25.90082098704539,50
t3,0.0,weak,nonlinear,lasso,score_clipped_dml,0.99,0.9398392515220502,-0.06016074847794989,0.03391155163058749,0.06889346213350923,0.46,0.1263018582960177,0.12516945639849314,0.0751881370201058,0.018691769069562623,56.2902308428646,25.96034351095651,50
t3,0.0,weak,nonlinear,lasso,score_clipped_dml,0.995,0.939658217240292,-0.06034178275970795,0.03466310739907725,0.06941636075802701,0.48,0.12793503699026815,0.12900821269814192,0.07926423254300424,0.02207455058937172,66.90683478059303,25.938704774930805,50
